id,text,unit,updated,firstPeriod,latestPeriod,active,variables
KVUARGEO,Forbrug af kulturaktiviteter (år) indenfor de seneste tre måneder,pct.,2020-09-01T08:00:00,2018,2019,True,"['kulturaktivitet', 'område', 'tid']"
KVUARUDD,Forbrug af kulturaktiviteter (år) indenfor de seneste tre måneder,pct.,2020-09-01T08:00:00,2018,2019,True,"['kulturaktivitet', 'uddannelse', 'tid']"
KVUH1KA,Kulturforbrug (år) inden for de seneste tre måneder,pct.,2020-09-01T08:00:00,2018,2019,True,"['kulturaktivitet', 'køn', 'alder', 'hyppighed', 'tid']"
KVUH1GEO,Kulturforbrug (år) inden for de seneste tre måneder,pct.,2020-09-01T08:00:00,2018,2019,True,"['kulturaktivitet', 'område', 'hyppighed', 'tid']"
KVUH1UDD,Kulturforbrug (år) inden for de seneste tre måneder,pct.,2020-09-01T08:00:00,2018,2019,True,"['kulturaktivitet', 'uddannelse', 'hyppighed', 'tid']"
KVUH2KA,Kulturforbrug (år) inden for den seneste uge,pct.,2020-09-01T08:00:00,2018,2019,True,"['kulturaktivitet', 'køn', 'alder', 'hyppighed', 'tid']"
KVUH2GEO,Kulturforbrug (år) inden for den seneste uge,pct.,2020-09-01T08:00:00,2018,2019,True,"['kulturaktivitet', 'område', 'hyppighed', 'tid']"
KVUH2UDD,Kulturforbrug (år) inden for den seneste uge,pct.,2020-09-01T08:00:00,2018,2019,True,"['kulturaktivitet', 'uddannelse', 'hyppighed', 'tid']"
KVUHOVED,Forbrug af kulturaktiviteter (kvartal) indenfor de seneste tre måneder,pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['kulturaktivitet', 'alder og køn', 'tid']"
KVUSNAK,"Snakker med andre om film, serier eller litteratur (særmodul) i de seneste tre måneder",pct.,2020-06-02T08:00:00,2020K1,2020K1,True,"['kulturaktivitet', 'alder og køn', 'hyppighed', 'tid']"
KVUHYP01,Kulturforbrug (Kvartal) i de seneste tre måneder,pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['kulturaktivitet', 'alder og køn', 'hyppighed', 'tid']"
KVUSMMEN,Kulturforbrug alene eller sammen med andre (særmodul) i de seneste tre måneder,pct.,2020-06-02T08:00:00,2020K1,2020K1,True,"['kulturaktivitet', 'alder og køn', 'anvendelse', 'tid']"
KVUHYP02,Kulturforbrug (kvartal) i den seneste uge,pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['kulturaktivitet', 'alder og køn', 'hyppighed', 'tid']"
KVUARMS1,Besøg på museum eller kulturarv (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['museumstype', 'køn', 'alder', 'tid']"
KVUARMS2,Besøg på museum eller udstilling (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['område', 'køn', 'alder', 'tid']"
KVUARMS5,Besøg på museum eller udstilling (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['formål', 'køn', 'alder', 'tid']"
KVUARMS4,Brug af museers online tjenester (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['type', 'køn', 'alder', 'tid']"
KVUARBK1,Forbrug af billedkunst (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['genre', 'køn', 'alder', 'tid']"
KVUARBK2,Forbrug af billedkunst (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['adgang', 'køn', 'alder', 'tid']"
KVUMUS1,Besøg på museum eller kulturarv (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['museumstype', 'alder og køn', 'tid']"
KVUMUS2,Besøg på museum eller udstilling (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['område', 'alder og køn', 'tid']"
KVUFOR01,Besøg på kulturarv i Danmark (særmodul),pct.,2020-03-02T08:00:00,2019K4,2019K4,True,"['type', 'alder og køn', 'tid']"
KVUFOR02,Besøg på kulturarv i Danmark,pct.,2021-03-01T08:00:00,2020K2,2020K4,True,"['type', 'alder og køn', 'tid']"
KVUMUS3,Besøg på museum eller kulturarv (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['formål', 'alder og køn', 'tid']"
KVUMUS4,Brug af museers online tjenester (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['type', 'alder og køn', 'tid']"
KVUBK01,Forbrug af billedkunst (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['genre', 'alder og køn', 'tid']"
KVUBK02,Forbrug af billedkunst (kvartal),pct.,2021-03-01T08:00:00,2018K3,2020K4,True,"['adgang', 'alder og køn', 'tid']"
KVUARBB1,Besøg på bibliotek (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['formål', 'køn', 'alder', 'tid']"
KVUARBB2,Online biblioteksbesøg (år),pct.,2020-09-01T08:00:00,2018,2019,True,"['digitale tjenester', 'køn', 'alder', 'tid']"
